成田空港?(4767),,
,12:25発,
有明??,12:26着,
,12:26発,
,,
,,
有明??,16:52着,
,17:52発,
有明テニスの森??,16:53着,
,17:53発,
市場前??,16:55着,
,17:55発,
新豊洲??,16:57着,
,17:57発,
,,
,,
新豊洲??,20:44着,
,20:44発,
市場前??,20:46着,
,20:46発,
有明テニスの森??,20:48着,
,20:48発,
有明??,20:49着,
,20:49発,
,,
,,
国際展示場??,10:04着,
,10:04発,
東京テレポート??,10:06着,
,10:06発,
天王洲アイル??,10:10着,
,10:10発,
品川シーサイド??,10:12着,
,10:12発,
大井町??,10:14着,
,10:15発,
大崎??,10:18着,
,,
,,
大崎??,,
,10:22発,
品川?(4010),10:25着,
,10:25発,
田町??,10:28着,
,10:28発,
浜松町??,10:30着,
,10:30発,
新橋?(4002),10:33着,
,10:33発,
有楽町??,10:35着,
,10:35発,
東京?(4000),10:37着,
,10:37発,
,,
,,
,,
東京?(4000),10:55着,10
,10:57発,
新橋?(4002),10:59着,
,11:00発,
品川?(4010),11:04着,
,11:05発,
川崎?(4020),11:13着,
,11:14発,
,,
,,
川崎?(4020),12:32着,
,12:32発,
品川?(4010),12:41着,
,12:41発,
新橋?(4002),12:45着,
,12:46発,
東京?(4000),12:49着,7
,12:50発,
,,
,,
東京?(4000),12:59着,
,12:59発,
大手町??,13:00着,
,13:01発,
,,
,,
大手町??,13:04着,
,13:05発,
神保町??,13:07着,
,13:08発,
,,
,,
神保町??,14:12着,
,14:12発,
小川町??,14:14着,
,14:14発,
岩本町??,14:16着,
,14:16発,
,,
,,
秋葉原?(4590),15:21着,
,15:21発,
神田??,15:22着,
,15:22発,
東京?(4000),15:25着,
,15:25発,
,,
,,
東京?(4000),,20
,15:56発,
上野?(4300),16:01着,19
,16:02発,
大宮?(4320),16:21着,
,16:22発,
熊谷?(4380),16:36着,
,16:37発,
本庄早稲田?(4388),レ,
,レ,
高崎?(4400),16:52着,12
,16:53発,
上毛高原?(4415),レ,
,レ,
越後湯沢?(3010),17:18着,
,17:19発,
浦佐?(3035),レ,
,レ,
長岡?(3080),17:38着,
,17:39発,
燕三条?(3095),レ,
,レ,
新潟?(3200),17:58着,13
,,
,,
,,
新潟?(3200),,3
,09:30発,
越後石山??,レ,
,レ,
亀田?(3108),レ,
,レ,
荻川??,レ,
,レ,
さつき野??,レ,
,レ,
新津?(3105),09:53着,
,10:04発,
東新津??,レ,
,レ,
新関??,レ,
,レ,
北五泉??,レ,
,レ,
五泉?(2233),10:20着,
,10:22発,
猿和田??,レ,
,レ,
馬下??,レ,
,レ,
咲花?(2232),10:39着,
,10:40発,
,,
,,
咲花?(2232),11:01着,
,11:01発,
馬下??,11:05着,
,11:05発,
猿和田??,11:10着,
,11:10発,
五泉?(2233),11:15着,
,11:15発,
北五泉??,11:18着,
,11:19発,
新関??,11:22着,
,11:23発,
東新津??,11:27着,
,11:27発,
新津?(3105),11:32着,
,,
,,
,,
新津?(3105),11:33着,
,11:35発,
さつき野??,11:37着,
,11:38発,
荻川??,11:40着,
,11:41発,
亀田?(3108),11:45着,
,11:46発,
越後石山??,11:48着,
,11:49発,
新潟?(3200),11:55着,1
,12:00発,
,,
,,
新潟?(3200),,14
,14:02発,
燕三条?(3095),14:14着,
,14:15発,
長岡?(3080),14:25着,
,14:26発,
浦佐?(3035),14:39着,
,14:44発,
越後湯沢?(3010),14:56着,
,,
,,
,,
越後湯沢?(3010),,
,15:20発,
浦佐?(3035),15:32着,
,15:33発,
長岡?(3080),15:45着,
,15:50発,
燕三条?(3095),16:00着,
,16:01発,
新潟?(3200),16:14着,14
,,
,,
,,
新潟?(3200),,9
,10:21発,
越後石山??,レ,
,レ,
亀田?(3108),レ,
,レ,
荻川??,レ,
,レ,
さつき野??,レ,
,レ,
新津?(3105),10:35着,
,10:35発,
古津??,レ,
,レ,
矢代田??,レ,
,レ,
田上??,レ,
,レ,
羽生田??,レ,
,レ,
加茂?(3100),10:49着,
,10:49発,
保内??,レ,
,レ,
東三条?(3090),10:55着,
,10:56発,
三条??,レ,
,レ,
東光寺??,レ,
,レ,
帯織??,レ,
,レ,
見附?(3085),11:05着,
,11:05発,
押切??,レ,
,レ,
北長岡??,レ,
,レ,
長岡?(3080),11:15着,
,11:17発,
宮内?(3079),レ,
,レ,
前川??,レ,
,レ,
来迎寺?(3078),レ,
,レ,
越後岩塚??,レ,
,レ,
塚山??,レ,
,レ,
長鳥??,レ,
,レ,
越後広田??,レ,
,レ,
北条??,レ,
,レ,
安田??,レ,
,レ,
茨目??,レ,
,レ,
柏崎?(3075),11:43着,
,11:44発,
鯨波??,レ,
,レ,
青海川??,レ,
,レ,
笠島??,レ,
,レ,
米山??,レ,
,レ,
柿崎?(3071),11:58着,
,11:58発,
上下浜??,レ,
,レ,
潟町??,レ,
,レ,
土底浜??,レ,
,レ,
犀潟??,レ,
,レ,
黒井??,レ,
,レ,
直江津?(3068),12:10着,
,12:12発,
春日山??,レ,
,レ,
高田??,12:19着,
,12:19発,
南高田??,レ,
,レ,
上越妙高?(3055),12:25着,
,,
,,
,,
上越妙高?(3055),12:58着,
,12:59発,
飯山?(5755),レ,
,レ,
長野?(5500),13:18着,13
,13:20発,
,,
,,
長野??,,
,14:08発,
市役所前??,14:09着,
,14:09発,
権堂??,14:10着,
,14:11発,
善光寺下??,14:12着,
,14:12発,
,,
,,
長野?(5500),08:53着,13
,08:55発,
上田?(5485),レ,
,レ,
佐久平?(5470),レ,
,レ,
軽井沢?(4582),レ,
,レ,
安中榛名?(5460),レ,
,レ,
高崎?(4400),レ,13
,レ,
本庄早稲田?(4388),レ,
,レ,
熊谷?(4380),レ,
,レ,
大宮?(4320),09:54着,
,09:55発,
,,
,,
大宮?(4320),10:47着,
,10:48発,
熊谷?(4380),レ,
,レ,
本庄早稲田?(4388),レ,
,レ,
高崎?(4400),レ,12
,レ,
安中榛名?(5460),レ,
,レ,
軽井沢?(4582),レ,
,レ,
佐久平?(5470),レ,
,レ,
上田?(5485),レ,
,レ,
長野?(5500),11:44着,12
,11:46発,
,,
,,
長野?(5500),,6
,13:00発,
安茂里??,レ,
,レ,
川中島?(5497),レ,
,レ,
今井??,レ,
,レ,
篠ノ井?(5495),13:08着,
,13:08発,
稲荷山??,レ,
,レ,
姨捨?(5410),レ,
,レ,
冠着??,レ,
,レ,
聖高原?(5405),レ,
,レ,
坂北??,レ,
,レ,
西条??,レ,
,レ,
明科?(5402),レ,
,レ,
田沢??,レ,
,レ,
松本?(5400),13:51着,1
,13:52発,
,,
,,
松本?(5400),,2
,14:49発,
南松本??,レ,
,レ,
平田??,レ,
,レ,
村井??,レ,
,レ,
広丘??,レ,
,レ,
塩尻?(5355),14:57着,
,14:58発,
みどり湖??,レ,
,レ,
岡谷?(5345),15:05着,
,15:05発,
下諏訪?(5340),レ,
,レ,
上諏訪?(5335),15:12着,
,15:12発,
,,
,,
上諏訪?(5335),16:49着,
,16:49発,
下諏訪?(5340),16:54着,
,16:55発,
岡谷?(5345),17:00着,
,17:03発,
みどり湖??,17:09着,
,17:10発,
塩尻?(5355),17:13着,
,17:14発,
広丘??,17:17着,
,17:18発,
村井??,17:21着,
,17:21発,
平田??,17:24着,
,17:24発,
南松本??,17:27着,
,17:27発,
松本?(5400),17:31着,4
,17:34発,
,,
,,
松本?(5400),,0
,13:24発,
南松本??,13:27着,
,13:27発,
平田??,13:29着,
,13:30発,
村井??,13:32着,
,13:32発,
広丘??,13:35着,
,13:36発,
塩尻?(5355),13:40着,
,13:45発,
,,
,,
塩尻?(5355),14:46着,
,14:50発,
洗馬??,14:54着,
,14:54発,
日出塩??,14:58着,
,14:59発,
贄川??,15:04着,
,15:05発,
木曽平沢?(5357),15:10着,
,15:10発,
奈良井??,15:13着,
,15:19発,
,,
,,
奈良井??,15:55着,
,15:56発,
木曽平沢?(5357),15:59着,
,16:00発,
贄川??,16:05着,
,16:06発,
日出塩??,16:11着,
,16:12発,
洗馬??,16:16着,
,16:16発,
塩尻?(5355),16:20着,
,16:24発,
,,
,,
塩尻?(5355),16:35着,
,16:39発,
広丘??,16:43着,
,16:43発,
村井??,16:46着,
,16:47発,
平田??,16:49着,
,16:50発,
南松本??,16:52着,
,16:53発,
松本?(5400),16:57着,5
,,
,,
,,
松本?(5400),,6
,07:15発,
北松本??,07:17着,
,07:17発,
島内??,07:20着,
,07:23発,
島高松??,07:25着,
,07:25発,
梓橋??,07:27着,
,07:27発,
一日市場??,07:30着,
,07:32発,
中萱??,07:34着,
,07:35発,
南豊科??,07:37着,
,07:37発,
豊科?(5420),07:39着,
,07:41発,
柏矢町??,07:44着,
,07:44発,
穂高?(5423),07:46着,
,07:47発,
有明??,07:49着,
,07:50発,
安曇追分??,07:52着,
,07:52発,
細野??,07:55着,
,07:56発,
北細野??,07:57着,
,07:58発,
信濃松川?(5427),08:00着,
,08:01発,
安曇沓掛??,08:04着,
,08:04発,
信濃常盤??,08:07着,
,08:07発,
南大町??,08:11着,
,08:11発,
信濃大町?(5430),08:13着,
,,
,,
,,
立山??,,
,15:20発,
本宮??,15:31着,
,15:31発,
有峰口??,15:34着,
,15:34発,
千垣??,15:36着,
,15:36発,
横江??,15:42着,
,15:42発,
岩峅寺??,15:47着,
,15:47発,
沢中山??,15:49着,
,15:49発,
釜ヶ淵??,15:51着,
,15:51発,
下段??,15:53着,
,15:53発,
榎町??,15:55着,
,15:55発,
五百石??,15:58着,
,15:58発,
田添??,16:00着,
,16:00発,
稚子塚??,16:02着,
,16:02発,
寺田??,16:05着,
,16:05発,
越中舟橋??,16:08着,
,16:08発,
越中三郷??,16:11着,
,16:11発,
越中荏原??,16:14着,
,16:14発,
東新庄??,16:19着,
,16:19発,
新庄田中??,16:21着,
,16:21発,
稲荷町??,16:23着,
,16:23発,
電鉄富山??,16:26着,
,,
,,
,,
富山?(5280),,2
,13:02発,
西富山??,レ,
,レ,
婦中鵜坂??,レ,
,レ,
速星?(5205),13:11着,
,13:11発,
千里??,レ,
,レ,
越中八尾?(5200),13:20着,
,13:20発,
東八尾??,レ,
,レ,
笹津?(5195),レ,
,レ,
楡原??,レ,
,レ,
猪谷?(5190),13:39着,
,13:40発,
杉原??,レ,
,レ,
打保??,レ,
,レ,
坂上??,レ,
,レ,
角川??,レ,
,レ,
飛騨細江??,レ,
,レ,
杉崎??,レ,
,レ,
飛騨古川?(5185),14:17着,
,14:18発,
飛騨国府??,レ,
,レ,
上枝??,レ,
,レ,
高山?(5180),14:31着,
,14:38発,
,,
,,
高山?(5180),,
,15:50発,
上枝??,15:55着,
,15:55発,
飛騨国府??,16:02着,
,16:05発,
飛騨古川?(5185),16:09着,
,16:09発,
,,
,,
飛騨古川?(5185),18:25着,
,18:26発,
飛騨国府??,レ,
,レ,
上枝??,レ,
,レ,
高山?(5180),18:39着,
,18:46発,
,,
,,
高山?(5180),,
,12:33発,
飛騨一ノ宮??,レ,
,レ,
久々野?(5178),レ,
,レ,
渚??,レ,
,レ,
飛騨小坂?(5177),12:58着,
,12:59発,
飛騨宮田??,レ,
,レ,
上呂??,レ,
,レ,
飛騨萩原?(5176),13:09着,
,13:10発,
禅昌寺??,レ,
,レ,
下呂?(5175),13:17着,
,13:19発,
焼石??,レ,
,レ,
飛騨金山?(5174),13:37着,
,13:38発,
下油井??,レ,
,レ,
白川口?(5173),13:55着,
,13:56発,
上麻生??,レ,
,レ,
下麻生??,レ,
,レ,
中川辺??,レ,
,レ,
古井??,レ,
,レ,
美濃太田?(5170),14:17着,
,14:18発,
坂祝??,レ,
,レ,
鵜沼?(5169),14:27着,
,14:28発,
各務ヶ原??,レ,
,レ,
蘇原??,レ,
,レ,
那加??,レ,
,レ,
長森??,レ,
,レ,
岐阜?(5150),14:39着,
,14:41発,
木曽川??,レ,
,レ,
尾張一宮?(5110),14:49着,
,14:50発,
稲沢??,レ,
,レ,
清洲??,レ,
,レ,
枇杷島??,レ,
,レ,
名古屋?(5100),15:02着,3
,,
,,
,,
名鉄名古屋??,15:53着,
,15:54発,
山王??,15:56着,
,15:56発,
金山?(5099),15:58着,
,15:59発,
神宮前??,16:01着,
,16:02発,
,,
,,
熱田?(5098),16:46着,
,16:47発,
金山?(5099),16:49着,
,16:49発,
,,
,,
金山?(5099),17:03着,
,17:03発,
尾頭橋??,17:05着,
,17:05発,
名古屋?(5100),17:10着,5
,17:20発,
,,
,,
名古屋?(5100),,10
,08:00発,
金山?(5099),レ,
,レ,
鶴舞??,レ,
,レ,
千種?(5390),08:05着,
,08:06発,
大曽根??,レ,
,レ,
新守山??,レ,
,レ,
勝川??,レ,
,レ,
春日井??,レ,
,レ,
神領??,レ,
,レ,
高蔵寺?(5385),レ,
,レ,
定光寺??,レ,
,レ,
古虎渓??,レ,
,レ,
多治見?(5380),08:22着,
,08:23発,
土岐市??,レ,
,レ,
瑞浪??,レ,
,レ,
釜戸??,レ,
,レ,
武並??,レ,
,レ,
恵那?(5375),08:41着,
,08:42発,
美乃坂本??,レ,
,レ,
中津川?(5370),08:49着,
,08:50発,
落合川??,レ,
,レ,
坂下??,レ,
,レ,
田立??,レ,
,レ,
南木曽?(5365),レ,
,レ,
十二兼??,レ,
,レ,
野尻??,レ,
,レ,
大桑??,レ,
,レ,
須原??,レ,
,レ,
倉本??,レ,
,レ,
上松?(5361),レ,
,レ,
木曽福島?(5360),09:24着,
,09:25発,
原野??,レ,
,レ,
宮ノ越??,レ,
,レ,
藪原?(5358),レ,
,レ,
奈良井??,レ,
,レ,
木曽平沢?(5357),レ,
,レ,
贄川??,レ,
,レ,
日出塩??,レ,
,レ,
洗馬??,レ,
,レ,
塩尻?(5355),09:53着,
,09:57発,
,,
,,
塩尻?(5355),10:14着,
,10:15発,
広丘??,レ,
,レ,
村井??,レ,
,レ,
平田??,レ,
,レ,
南松本??,レ,
,レ,
松本?(5400),10:23着,3
,10:27発,
,,
,,
松本?(5400),,3
,11:08発,
南松本??,レ,
,レ,
平田??,レ,
,レ,
村井??,レ,
,レ,
広丘??,レ,
,レ,
塩尻?(5355),レ,
,レ,
みどり湖??,レ,
,レ,
岡谷?(5345),レ,
,レ,
下諏訪?(5340),レ,
,レ,
上諏訪?(5335),11:29着,
,11:30発,
茅野?(5330),11:35着,
,11:35発,
青柳??,レ,
,レ,
すずらんの里??,レ,
,レ,
富士見?(5327),レ,
,レ,
信濃境??,レ,
,レ,
小淵沢?(4160),レ,
,レ,
長坂?(4159),レ,
,レ,
日野春??,レ,
,レ,
穴山??,レ,
,レ,
新府??,レ,
,レ,
韮崎?(4155),レ,
,レ,
塩崎??,レ,
,レ,
竜王?(4152),レ,
,レ,
甲府?(4150),12:10着,
,12:11発,
酒折??,レ,
,レ,
石和温泉?(4145),レ,
,レ,
春日居町??,レ,
,レ,
山梨市?(4142),レ,
,レ,
東山梨??,レ,
,レ,
塩山?(4140),レ,
,レ,
勝沼ぶどう郷?(4139),レ,
,レ,
甲斐大和??,レ,
,レ,
笹子??,レ,
,レ,
初狩??,レ,
,レ,
大月?(4130),レ,
,レ,
猿橋??,レ,
,レ,
鳥沢??,レ,
,レ,
梁川??,レ,
,レ,
四方津?(4129),レ,
,レ,
上野原?(4128),レ,
,レ,
藤野??,レ,
,レ,
相模湖?(4127),レ,
,レ,
高尾?(4126),レ,
,レ,
西八王子??,レ,
,レ,
八王子?(4125),13:05着,
,13:05発,
豊田??,レ,
,レ,
日野??,レ,
,レ,
立川?(4120),レ,
,レ,
国立??,レ,
,レ,
西国分寺??,レ,
,レ,
国分寺?(4118),レ,
,レ,
三鷹?(4117),レ,
,レ,
吉祥寺?(4116),レ,
,レ,
新宿?(4115),13:33着,10
,,
,,
,,
新宿?(4115),13:31着,
,13:31発,
代々木??,13:33着,
,13:33発,
原宿??,13:35着,
,13:35発,
渋谷?(4088),13:38着,
,13:38発,
恵比寿??,13:40着,
,13:40発,
目黒??,13:43着,
,13:43発,
五反田??,13:45着,
,13:45発,
大崎??,13:46着,
,13:47発,
品川?(4010),13:50着,
,13:50発,
,,
,,
品川?(4010),14:50着,
,14:50発,
田町??,14:53着,
,14:53発,
浜松町??,14:55着,
,14:55発,
,,
,,
浜松町??,,
,15:00発,
天王洲アイル??,15:04着,
,15:05発,
大井競馬場前??,15:08着,
,15:08発,
流通センター??,15:10着,
,15:10発,
昭和島??,15:12着,
,15:14発,
整備場??,15:16着,
,15:16発,
天空橋??,15:17着,
,15:18発,
羽田空港国際線ビル??,15:19着,
,15:20発,
新整備場??,15:22着,
,15:22発,
,,
,,
新整備場??,17:43着,
,17:43発,
羽田空港国際線ビル??,17:46着,
,17:46発,
天空橋??,17:48着,
,17:48発,
整備場??,17:49着,
,17:50発,
昭和島??,17:52着,
,17:52発,
流通センター??,17:54着,
,17:54発,
大井競馬場前??,17:56着,
,17:56発,
天王洲アイル??,17:59着,
,17:59発,
浜松町??,18:04着,
,,
,,
,,
浜松町??,18:09着,
,18:09発,
田町??,18:11着,
,18:11発,
品川?(4010),18:14着,
,18:14発,
大井町??,18:18着,
,18:18発,
大森??,18:21着,
,18:21発,
蒲田??,18:25着,
,18:25発,
川崎?(4020),18:30着,
,18:30発,
,,
,,
川崎?(4020),21:34着,
,21:34発,
蒲田??,21:38着,
,21:38発,
大森??,21:42着,
,21:42発,
大井町??,21:45着,
,21:45発,
品川?(4010),21:48着,
,21:48発,
,,
,,
品川?(4010),09:48着,
,09:48発,
田町??,09:51着,
,09:51発,
浜松町??,09:54着,
,09:54発,
新橋?(4002),09:56着,
,09:56発,
有楽町??,09:58着,
,09:58発,
東京?(4000),10:00着,
,10:00発,
神田??,10:02着,
,10:02発,
秋葉原?(4590),10:03着,
,10:03発,
御徒町??,10:05着,
,10:05発,
,,
,,
御徒町??,10:15着,
,10:15発,
秋葉原?(4590),10:17着,
,10:17発,
神田??,10:18着,
,10:18発,
東京?(4000),10:20着,
,10:20発,
有楽町??,10:22着,
,10:22発,
新橋?(4002),10:24着,
,10:24発,
浜松町??,10:26着,
,10:26発,
田町??,10:29着,
,10:29発,
品川?(4010),10:32着,
,10:32発,
,,
,,
品川?(4010),11:01着,
,11:01発,
大崎??,11:04着,
,11:04発,
五反田??,11:06着,
,11:06発,
目黒??,11:08着,
,11:08発,
恵比寿??,11:11着,
,11:11発,
渋谷?(4088),11:13着,
,11:13発,
原宿??,11:16着,
,11:16発,
代々木??,11:18着,
,11:18発,
新宿?(4115),11:20着,
,11:20発,
新大久保??,11:22着,
,11:22発,
高田馬場??,11:25着,
,11:25発,
目白??,11:27着,
,11:27発,
,,
,,
落合南長崎??,12:53着,
,12:53発,
中井??,12:55着,
,12:56発,
東中野??,12:57着,
,12:57発,
中野坂上??,12:59着,
,12:59発,
西新宿五丁目??,13:01着,
,13:02発,
都庁前??,13:03着,
,13:04発,
新宿?(4115),13:06着,
,13:06発,
,,
,,
新宿?(4115),,
,13:17発,
池袋?(4085),13:23着,4
,13:23発,
,,
,,
池袋?(4085),16:02着,7
,16:02発,
大塚??,16:04着,
,16:04発,
巣鴨??,16:06着,
,16:06発,
駒込??,16:08着,
,16:08発,
田端??,16:11着,
,16:11発,
西日暮里??,16:12着,
,16:12発,
日暮里?(4302),16:14着,
,16:14発,
,,
,,
日暮里?(4302),16:31着,
,16:31発,
西日暮里??,16:33着,
,16:33発,
田端??,16:35着,
,16:35発,
駒込??,16:37着,
,16:37発,
巣鴨??,16:39着,
,16:39発,
大塚??,16:41着,
,16:41発,
池袋?(4085),16:44着,6
,16:44発,
,,
,,
池袋?(4085),,
,17:20発,
新大塚??,17:22着,
,17:23発,
茗荷谷??,17:24着,
,17:25発,
後楽園??,17:27着,
,17:27発,
本郷三丁目??,17:29着,
,17:29発,
御茶ノ水??,17:31着,
,17:31発,
淡路町??,17:32着,
,17:33発,
大手町??,17:34着,
,17:35発,
,,
,,
大手町??,17:38着,
,17:38発,
神保町??,17:41着,
,17:41発,
,,
,,
神保町??,18:30着,
,18:30発,
小川町??,18:32着,
,18:32発,
岩本町??,18:34着,
,18:34発,
,,
,,
秋葉原?(4590),19:19着,
,19:19発,
御徒町??,19:21着,
,19:21発,
,,
,,
御徒町??,19:21着,
,19:21発,
上野?(4300),19:23着,
,19:23発,
鶯谷??,19:25着,
,19:25発,
日暮里?(4302),19:27着,
,19:27発,
西日暮里??,19:28着,
,19:28発,
田端??,19:30着,
,19:30発,
駒込??,19:32着,
,19:32発,
巣鴨??,19:34着,
,19:34発,
大塚??,19:36着,
,19:36発,
池袋?(4085),19:40着,6
,19:40発,
,,
,,
池袋?(4085),08:52着,1
,08:52発,
新宿?(4115),08:58着,
,08:58発,
渋谷?(4088),09:03着,
,09:03発,
恵比寿??,09:05着,
,09:05発,
大崎??,09:09着,
,09:11発,
大井町??,09:14着,
,09:14発,
品川シーサイド??,09:17着,
,09:17発,
天王洲アイル??,09:19着,
,09:19発,
,,
,,
天王洲アイル??,09:26着,
,09:27発,
大井競馬場前??,09:30着,
,09:30発,
流通センター??,09:32着,
,09:32発,
昭和島??,09:34着,
,09:34発,
整備場??,09:36着,
,09:37発,
天空橋??,09:38着,
,09:38発,
羽田空港国際線ビル??,09:40着,
,09:40発,
新整備場??,09:43着,
,09:43発,
,,
,,
新整備場??,12:14着,
,12:14発,
羽田空港国際線ビル??,12:17着,
,12:17発,
,,
,,
羽田空港国際線ビル??,12:19着,
,12:20発,
天空橋??,レ,
,レ,
整備場??,レ,
,レ,
昭和島??,レ,
,レ,
流通センター??,レ,
,レ,
大井競馬場前??,レ,
,レ,
天王洲アイル??,レ,
,レ,
浜松町??,12:33着,
,,
,,
,,
浜松町??,12:39着,
,12:39発,
新橋?(4002),レ,
,レ,
有楽町??,レ,
,レ,
東京?(4000),12:43着,
,12:43発,
,,
,,
東京?(4000),12:59着,
,12:59発,
神田??,13:01着,
,13:01発,
秋葉原?(4590),13:03着,
,13:03発,
,,
,,
秋葉原?(4590),18:43着,
,18:43発,
御徒町??,18:45着,
,18:45発,
上野?(4300),18:47着,
,18:47発,
鶯谷??,18:49着,
,18:49発,
日暮里?(4302),18:51着,
,18:51発,
西日暮里??,18:53着,
,18:53発,
田端??,18:55着,
,18:55発,
駒込??,18:57着,
,18:57発,
巣鴨??,18:59着,
,18:59発,
大塚??,19:01着,
,19:01発,
池袋?(4085),19:04着,6
,19:04発,
,,
,,
池袋?(4085),,
,15:20発,
椎名町??,レ,
,レ,
東長崎??,レ,
,レ,
江古田??,レ,
,レ,
桜台??,レ,
,レ,
練馬??,レ,
,レ,
中村橋??,レ,
,レ,
富士見台??,レ,
,レ,
練馬高野台??,レ,
,レ,
石神井公園??,15:29着,
,15:30発,
大泉学園??,レ,
,レ,
保谷??,レ,
,レ,
ひばりヶ丘??,15:35着,
,15:35発,
東久留米??,レ,
,レ,
清瀬??,レ,
,レ,
秋津??,レ,
,レ,
所沢??,15:42着,
,15:44発,
西所沢??,15:47着,
,15:47発,
,,
,,
西所沢??,15:53着,
,15:54発,
下山口??,15:57着,
,15:57発,
西武球場前??,16:00着,
,,
,,
,,
西武球場前??,,
,20:54発,
下山口??,20:57着,
,20:57発,
西所沢??,21:01着,
,21:02発,
所沢??,21:05着,
,21:06発,
,,
,,
所沢??,21:06着,
,21:07発,
秋津??,レ,
,レ,
清瀬??,レ,
,レ,
東久留米??,レ,
,レ,
ひばりヶ丘??,21:14着,
,21:14発,
保谷??,レ,
,レ,
大泉学園??,レ,
,レ,
石神井公園??,21:19着,
,21:21発,
練馬高野台??,レ,
,レ,
富士見台??,レ,
,レ,
中村橋??,レ,
,レ,
練馬??,レ,
,レ,
桜台??,レ,
,レ,
江古田??,レ,
,レ,
東長崎??,レ,
,レ,
椎名町??,レ,
,レ,
池袋?(4085),21:32着,
,,
,,
,,
池袋?(4085),10:22着,7
,10:22発,
大塚??,10:24着,
,10:24発,
巣鴨??,10:26着,
,10:26発,
駒込??,10:28着,
,10:28発,
田端??,10:30着,
,10:30発,
,,
,,
田端??,10:31着,
,10:31発,
西日暮里??,レ,
,レ,
日暮里?(4302),レ,
,レ,
鶯谷??,レ,
,レ,
上野?(4300),10:35着,
,10:35発,
,,
,,
上野?(4300),10:45着,19
,10:46発,
大宮?(4320),11:05着,
,11:06発,
,,
,,
大宮?(4320),,
,11:20発,
鉄道博物館??,11:22着,
,11:23発,
,,
,,
鉄道博物館??,14:14着,
,14:14発,
大宮?(4320),14:17着,
,,
,,
,,
大宮?(4320),14:26着,
,14:27発,
上野?(4300),14:46着,21
,14:47発,
,,
,,
上野?(4300),14:40着,
,14:40発,
鶯谷??,レ,
,レ,
日暮里?(4302),レ,
,レ,
西日暮里??,レ,
,レ,
田端??,14:44着,
,14:44発,
,,
,,
田端??,14:56着,
,14:56発,
駒込??,14:58着,
,14:58発,
巣鴨??,15:00着,
,15:00発,
大塚??,15:02着,
,15:02発,
池袋?(4085),15:05着,6
,15:05発,
,,
,,
池袋?(4085),15:56着,
,15:56発,
雑司が谷??,レ,
,レ,
西早稲田??,レ,
,レ,
東新宿??,レ,
,レ,
新宿三丁目??,16:02着,
,16:02発,
,,
,,
新宿?(4115),,
,21:40発,
